algo,size,temps
approx,1000,746.2159799999881
approx,2500,4736.578480000002
approx,5000,19688.214259999997
approx,7500,42699.731319999955
approx,10000,73679.07754
glouton,1000,288.2101199999852
glouton,2500,1765.2128599999742
glouton,5000,7079.604600000038
glouton,7500,16033.227019999866
glouton,10000,28572.50184000004
progdyn,5,0.23856000116211362
progdyn,10,19.856259999960457
progdyn,12,186.01447999972152
progdyn,15,1313.4385799999109
progdyn,17,9382.396219999646
progdyn,20,84777.7278399998
