algo,size,exemplaire,temps
strassen,4,4,14.12259999960952
strassen,4,5,16.413899999861314
strassen,4,6,16.951600000538747
strassen,4,7,16.40860000043176
strassen,4,8,15.289300000404182
strassen,4,9,17.086400000152935
strassen,5,0,79.14739999978337
strassen,5,1,68.99849999990693
strassen,5,2,68.8004000003275
strassen,5,3,67.7756999994017
strassen,5,4,71.45159999981843
strassen,5,5,62.66490000052727
strassen,5,6,64.36000000030617
strassen,5,7,68.34909999997762
strassen,5,8,71.10829999965063
strassen,5,9,64.39030000001367
strassen,6,0,420.3926000000138
strassen,6,1,456.39420000043174
strassen,6,2,418.5216000005312
strassen,6,3,432.549399999516
strassen,6,4,415.90480000013486
strassen,6,5,441.4102000000639
strassen,6,6,416.84280000026774
strassen,6,7,415.3487000003224
strassen,6,8,416.5042999993602
strassen,6,9,410.6584999999541
strassen,7,0,2935.2764000004754
strassen,7,1,2941.413399999874
strassen,7,2,2861.0313999997743
strassen,7,3,2934.6863999999186
strassen,7,4,2855.7589000001826
strassen,7,5,2854.280900000049
strassen,7,6,2854.569000000083
strassen,7,7,2880.955999999969
strassen,7,8,3003.3323999996355
strassen,7,9,2967.736999999943
strassenSeuil,2,0,0.10130000009667128
strassenSeuil,2,1,0.1145999995060265
strassenSeuil,2,2,0.10000000020227162
strassenSeuil,2,3,0.10250000013911631
strassenSeuil,2,4,0.12250000054336851
strassenSeuil,2,5,0.08660000003146706
strassenSeuil,2,6,0.09649999992689118
strassenSeuil,2,7,0.11330000052112155
strassenSeuil,2,8,0.1733999997668434
strassenSeuil,2,9,0.11200000062672189
strassenSeuil,3,0,0.5272999997032457
strassenSeuil,3,1,0.37789999987580813
strassenSeuil,3,2,0.35800000023300527
strassenSeuil,3,3,0.5830000000059954
strassenSeuil,3,4,0.33199999961652793
strassenSeuil,3,5,0.5693000002793269
strassenSeuil,3,6,0.38470000072265975
strassenSeuil,3,7,0.3100000003541936
strassenSeuil,3,8,0.31120000039663864
strassenSeuil,3,9,0.3419999993639067
strassenSeuil,4,0,4.15670000074897
strassenSeuil,4,1,2.134700000169687
strassenSeuil,4,2,2.074400000310561
strassenSeuil,4,3,4.142599999795493
strassenSeuil,4,4,2.2340000004987814
strassenSeuil,4,5,2.211199999692326
strassenSeuil,4,6,2.2576999999728287
strassenSeuil,4,7,2.123799999935727
strassenSeuil,4,8,2.1250999998301268
strassenSeuil,4,9,2.164799999263778
strassenSeuil,5,0,14.648899999883724
strassenSeuil,5,1,14.580000000023574
strassenSeuil,5,2,14.856100000542938
strassenSeuil,5,3,14.784099999815226
strassenSeuil,5,4,18.294600000444916
strassenSeuil,5,5,14.949500000511762
strassenSeuil,5,6,15.456799999810755
strassenSeuil,5,7,14.744600000085484
strassenSeuil,5,8,14.378500000020722
strassenSeuil,5,9,18.41549999971903
strassenSeuil,6,0,93.47489999981917
strassenSeuil,6,1,102.91159999997035
strassenSeuil,6,2,90.30750000056287
strassenSeuil,6,3,91.36679999937769
strassenSeuil,6,4,94.202100000075
strassenSeuil,6,5,98.53660000044329
strassenSeuil,6,6,91.11679999932676
strassenSeuil,6,7,95.4582999993363
strassenSeuil,6,8,95.01270000055229
strassenSeuil,6,9,92.98169999965467
strassenSeuil,7,0,552.9366999999183
strassenSeuil,7,1,555.7619000001068
strassenSeuil,7,2,567.0412999998007
strassenSeuil,7,3,563.1168999998408
strassenSeuil,7,4,556.3836999999694
strassenSeuil,7,5,562.6616999998078
strassenSeuil,7,6,585.9696999996231
strassenSeuil,7,7,572.917000000416
strassenSeuil,7,8,573.9850999998453
strassenSeuil,7,9,570.5908999998428
